ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_MP	Speaker_Minister	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-CT_2020-09-09-6001.214.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-CCP	Grup Parlamentari de Catalunya en Comú-Podem	Opposition	Segovia Sánchez, Susana	F	1973
ParlaMint-ES-CT_2020-09-09-6001.215.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	Cs	Ciudadanos		García González, Joan	M	1975
ParlaMint-ES-CT_2020-09-09-6001.216.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-CUP	Grup Parlamentari de la Candidatura d'Unitat Popular - Crida Constituent	Opposition	Sirvent Escrig, Maria	F	1987
ParlaMint-ES-CT_2020-09-09-6001.217.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	Cs	Ciudadanos		García González, Joan	M	1975
ParlaMint-ES-CT_2020-09-09-6001.218.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-JxCAT	Grup Parlamentari de Junts per Catalunya	Coalition	Geis Carreras, Gemma	F	1975
ParlaMint-ES-CT_2020-09-09-6001.219.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	Cs	Ciudadanos		García González, Joan	M	1975
ParlaMint-ES-CT_2020-09-09-6001.220.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-PSC-UNITS	Grup Parlamentari Socialistes i Units per Avançar	Opposition	Niubó Cindoncha, Esther	F	1980
ParlaMint-ES-CT_2020-09-09-6001.221.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	Cs	Ciudadanos		García González, Joan	M	1975
ParlaMint-ES-CT_2020-09-09-6001.222.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	notMP	Minister	ERC	Esquerra Republicana de Catalunya		Bargalló Valls, Josep	M	1977
ParlaMint-ES-CT_2020-09-09-6001.223.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	Cs	Ciudadanos		García González, Joan	M	1975
ParlaMint-ES-CT_2020-09-09-6001.224.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	GP-PSC-UNITS	Grup Parlamentari Socialistes i Units per Avançar	Opposition	Niubó Cindoncha, Esther	F	1980
ParlaMint-ES-CT_2020-09-09-6001.225.0	Corpus Parlamentari en català ParlaMint-ES-CT, 2020-09-09 6001 [ParlaMint SAMPLE]	2020-09-09	Unicameralism	12		60	1		COVID	Regular	MP	notMinister	Cs	Ciudadanos		García González, Joan	M	1975
