country	id	surname	forename	sex
RS	JankovićVeselin	Veselin	Janković	M
RS	JankovićVladeta	Vladeta	Janković	M
RS	JankovićVojislav	Vojislav	Janković	M
RS	JanoševićStanislava	Stanislava	Janošević	M
RS	JančićRadovan	Radovan	Jančić	M
RS	JarićDražen	Dražen	Jarić	M
RS	JaćimovićMiodrag	Miodrag	Jaćimović	M
RS	JefićBrankovićSanja	Sanja	Jefić Branković	F
RS	JelašićRadovan	Radovan	Jelašić	M
RS	JelenkovićPredrag	Predrag	Jelenković	M
RS	JeličićMilutin	Milutin	Jeličić	M
RS	JeremićSlobodan	Slobodan	Jeremić	M
RS	JeremićVladan	Vladan	Jeremić	M
RS	JeremićVuk	Vuk	Jeremić	M
RS	JerkovAleksandra	Aleksandra	Jerkov	F
RS	JerkovićSlavko	Slavko	Jerković	M
RS	JevremovićRadoslav	Radoslav	Jevremović	M
RS	JevtićAleksandra	Aleksandra	Jevtić	F
RS	JevtićIvica	Ivica	Jevtić	M
RS	JevtićJovica	Jovica	Jevtić	M
RS	JevtićMiloš	Miloš	Jevtić	M
RS	JevtićStojan	Stojan	Jevtić	M
RS	JevtovićMilanka	Milanka	Jevtović	F
RS	JevtovićViktor	Viktor	Jevtović	M
RS	JevtovićVukojičićMilanka	Milanka	Jevtović Vukojičić	F
RS	JevđićMarija	Marija	Jevđić	F
RS	JešićGoran	Goran	Ješić	M
RS	JocićGoran	Goran	Jocić	M
RS	JocićRadica	Radica	Jocić	F
RS	JojićMiloš	Miloš	Jojić	M
RS	JojićPetar	Petar	Jojić	M
RS	JokanovićŽarko	Žarko	Jokanović	M
RS	JokićMihailo	Mihailo	Jokić	M
RS	JokovićIvan	Ivan	Joković	M
RS	JokovićRadič	Radič	Joković	M
RS	JokovićSandra	Sandra	Joković	F
RS	JoksimovićJadranka	Jadranka	Joksimović	F
RS	JoksimovićJovana	Jovana	Joksimović	F
RS	JoksimovićNemanja	Nemanja	Joksimović	M
RS	JoksimovićObren	Obren	Joksimović	M
RS	JolovićNikola	Nikola	Jolović	M
RS	JorgaJagoda	Jagoda	Jorga	F
RS	JosimovIvan	Ivan	Josimov	M
RS	JosipovićIvo	Ivo	Josipović	M
RS	JotićŽivadin	Živadin	Jotić	M
RS	JovanovMilenko	Milenko	Jovanov	M
RS	JovanovićAleksandar	Aleksandar	Jovanović	M
RS	JovanovićAna	Ana	Jovanović	F
RS	JovanovićBranimir	Branimir	Jovanović	M
RS	JovanovićBranislav	Branislav	Jovanović	M
RS	JovanovićDejan	Dejan	Jovanović	M
RS	JovanovićDimitrije	Dimitrije	Jovanović	M
RS	JovanovićDragan	Dragan	Jovanović	M
RS	JovanovićGvozden	Gvozden	Jovanović	M
RS	JovanovićIvan	Ivan	Jovanović	M
RS	JovanovićJadranka	Jadranka	Jovanović	F
RS	JovanovićJovan	Jovan	Jovanović	M
RS	JovanovićJovana	Jovana	Jovanović	F
RS	JovanovićMarija	Marija	Jovanović	F
RS	JovanovićMiloš	Miloš	Jovanović	M
RS	Jovanović1Nataša	Nataša	Jovanović	F
RS	JovanovićNataša	Nataša	Jovanović	F
RS	JovanovićNeđo	Neđo	Jovanović	M
RS	JovanovićNikola	Nikola	Jovanović	M
RS	JovanovićTomislav	Tomislav	Jovanović	M
RS	JovanovićVera	Vera	Jovanović	F
RS	JovanovićVidoje	Vidoje	Jovanović	M
RS	JovanovićVladimir	Vladimir	Jovanović	M
RS	JovanovićZlatan	Zlatan	Jovanović	M
RS	JovanovićZoran	Zoran	Jovanović	M
RS	JovanovićČedomir	Čedomir	Jovanović	M
RS	JovanovićŽivadin	Živadin	Jovanović	M
RS	JovanovićŽotaŽivotije	Životije	Jovanović – Žota	M
RS	Jovanović2Nataša	Nataša	Jovanović2	F
RS	JovickiVesna	Vesna	Jovicki	F
RS	JovićMilorad	Milorad	Jović	M
RS	JovićNebojša	Nebojša	Jović	M
RS	JovićRadoslav	Radoslav	Jović	M
RS	JovičićAleksandar	Aleksandar	Jovičić	M
RS	JovičićIvan	Ivan	Jovičić	M
RS	JovičićMile	Mile	Jovičić	M
RS	JovičićVladan	Vladan	Jovičić	M
RS	JovišićJadranka	Jadranka	Jovišić	F
RS	JovčićStanko	Stanko	Jovčić	M
RS	JozićZoran	Zoran	Jozić	M
RS	JočićDragan	Dragan	Jočić	M
RS	JugovićAleksandar	Aleksandar	Jugović	M
RS	JugovićBratislav	Bratislav	Jugović	M
RS	JugovićMilan	Milan	Jugović	M
RS	JuhasAtila	Atila	Juhas	M
RS	Juhas2Atila	Atila	Juhas2	M
RS	KalanovićVerica	Verica	Kalanović	F
RS	KamberiŠaip	Šaip	Kamberi	M
RS	KapelanRajko	Rajko	Kapelan	M
RS	KarabenčDušica	Dušica	Karabenč	F
RS	KaradžićAna	Ana	Karadžić	F
RS	KaraičićBoris	Boris	Karaičić	M
RS	KaramarkovićLeposava	Leposava	Karamarković	F
RS	KaranacJasmina	Jasmina	Karanac	F
RS	KaranovićNevena	Nevena	Karanović	F
RS	KaravidićBranka	Branka	Karavidić	F
RS	KarićDragomir	Dragomir	Karić	M
RS	KarićIvan	Ivan	Karić	M
RS	KarićMilanka	Milanka	Karić	F
RS	KaroljPal	Pal	Karolj	M
RS	KasaJožef	Jožef	Kasa	M
RS	KasalovićZoran	Zoran	Kasalović	M
RS	KasašKarolj	Karolj	Kasaš	M
RS	KatićBorivoje	Borivoje	Katić	M
RS	KatićJelena	Jelena	Katić	F
RS	KebaraLuka	Luka	Kebara	M
RS	KekićBojan	Bojan	Kekić	M
RS	KermeciKarolj	Karolj	Kermeci	M
RS	KertesMihalj	Mihalj	Kertes	M
RS	KesarDejan	Dejan	Kesar	M
RS	KesejićStevan	Stevan	Kesejić	M
RS	KesićLjubiša	Ljubiša	Kesić	M
RS	KirćanskiOlgica	Olgica	Kirćanski	F
RS	KisićTepavčevićDarija	Darija	Kisić Tepavčević	F
RS	KitanovićMina	Mina	Kitanović	F
RS	KitanovićNenad	Nenad	Kitanović	M
RS	KitanovićTomislav	Tomislav	Kitanović	M
RS	KitićSvetlana	Svetlana	Kitić	F
RS	KišNandor	Nandor	Kiš	M
RS	KišmartonOto	Oto	Kišmarton	M
RS	KneževićBiljana	Biljana	Knežević	F
RS	KneževićBlaža	Blaža	Knežević	M
RS	KneževićGašo	Gašo	Knežević	M
RS	KneževićGoran	Goran	Knežević	M
RS	KneževićMilan	Milan	Knežević	M
RS	KneževićVesna	Vesna	Knežević	F
RS	KobahidzeIraklije	Iraklije	Kobahidze	M
RS	KocićJelena	Jelena	Kocić	F
RS	KojadinovićDragan	Dragan	Kojadinović	M
RS	KojenLeon	Leon	Kojen	M
RS	KojićIvica	Ivica	Kojić	M
RS	KojčićDragoljub	Dragoljub	Kojčić	M
RS	KokaLjuan	Ljuan	Koka	M
RS	KolundžijaJovan	Jovan	Kolundžija	M
RS	KolundžijaNada	Nada	Kolundžija	F
RS	KomazecSrđo	Srđo	Komazec	M
RS	KomlenovićRadoslav	Radoslav	Komlenović	M
RS	KomlenskiĐorđe	Đorđe	Komlenski	M
RS	KompirovićStanija	Stanija	Kompirović	F
RS	KondićMiroslav	Miroslav	Kondić	M
RS	KonstantinovićNenad	Nenad	Konstantinović	M
RS	KoprivicaBožidar	Božidar	Koprivica	M
RS	KoraćMilan	Milan	Korać	M
RS	KoraćŽarko	Žarko	Korać	M
RS	KosanićĐorđe	Đorđe	Kosanić	M
RS	KosanovićMirna	Mirna	Kosanović	F
RS	KosorićLjiljana	Ljiljana	Kosorić	F
RS	KostadinovaNevenka	Nevenka	Kostadinova	F
RS	KostadinovićZoran	Zoran	Kostadinović	M
RS	KostićBlagica	Blagica	Kostić	F
RS	KostićDragana	Dragana	Kostić	F
RS	KostićIvan	Ivan	Kostić	M
RS	KostićNada	Nada	Kostić	F
RS	KostićRadmilo	Radmilo	Kostić	M
RS	KostićVladeta	Vladeta	Kostić	M
RS	KostrešBojan	Bojan	Kostreš	M
RS	KovačElvira	Elvira	Kovač	F
RS	KovačVesna	Vesna	Kovač	F
RS	KovačevićBorisav	Borisav	Kovačević	M
RS	KovačevićBorislav	Borislav	Kovačević	M
RS	KovačevićBranislav	Branislav	Kovačević	M
RS	KovačevićDejan	Dejan	Kovačević	M
RS	KovačevićDragan	Dragan	Kovačević	M
RS	KovačevićGoran	Goran	Kovačević	M
RS	KovačevićIvan	Ivan	Kovačević	M
RS	KovačevićIvana	Ivana	Kovačević	F
RS	KovačevićMilan	Milan	Kovačević	M
RS	KovačevićSiniša	Siniša	Kovačević	M
RS	KovačevićStanko	Stanko	Kovačević	M
RS	KovačevićStudenka	Studenka	Kovačević	F
RS	KovačevićVeljko	Veljko	Kovačević	M
RS	KovačevićZorica	Zorica	Kovačević	F
RS	KovácsElvira	Elvira	Kovács	F
RS	KozićSvetlana	Svetlana	Kozić	F
RS	KoštunicaVojislav	Vojislav	Koštunica	M
RS	KožovićNikola	Nikola	Kožović	M
RS	KragovićLjubomir	Ljubomir	Kragović	M
RS	KrajinovićBlagoje	Blagoje	Krajinović	M
RS	KrajnovićMarijana	Marijana	Krajnović	F
RS	KraljDubravka	Dubravka	Kralj	F
RS	KrasićZoran	Zoran	Krasić	M
RS	KrekićBranislav	Branislav	Krekić	M
RS	KrešićMarin	Marin	Krešić	M
RS	KrivokapićMilovan	Milovan	Krivokapić	M
RS	KrivokapićRanko	Ranko	Krivokapić	M
RS	KrišanovVesna	Vesna	Krišanov	F
