Country	PersonID	Role	From	To	GovtTermID	MinistryID	orgName-xx	orgName-en	URL	Comment
RS	MomirovićTomislav	minister	2022-10-27	-	17th cabinet	-	Ministarstvo unutrašnje i spoljašnje trgovine	Ministry of Internal and Foreign Trade	https://en.wikipedia.org/wiki/Ministry_of_Internal_and_Foreign_Trade_(Serbia)	-
RS	SelakovićNikola	minister	2012-07-27	2016-08-11	12/13th cabinet	-	Ministarstvo pravde	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Serbia)	-
RS	KuburovićNela	minister	2016-08-12	2020-10-28	14/15th cabinet	-	Ministarstvo pravde	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Serbia)	-
RS	PopovićMaja	minister	2020-10-29	-	16/17th cabinet	-	Ministarstvo pravde	Ministry of Justice	https://en.wikipedia.org/wiki/Ministry_of_Justice_(Serbia)	-
RS	MirovićIgor	minister	2013-09-02	2014-04-27	12th cabinet	-	Ministarstvo državne uprave i lokalne samouprave	Ministry of Public Administration and Local Self-Government	https://en.wikipedia.org/wiki/Ministry_of_Public_Administration_and_Local_Self-Government	-
RS	UdovičkiKori	minister	2014-04-28	2016-08-11	13th cabinet	-	Ministarstvo državne uprave i lokalne samouprave	Ministry of Public Administration and Local Self-Government	https://en.wikipedia.org/wiki/Ministry_of_Public_Administration_and_Local_Self-Government	-
RS	BrnabićAna	minister	2016-08-12	2017-06-29	14th cabinet	-	Ministarstvo državne uprave i lokalne samouprave	Ministry of Public Administration and Local Self-Government	https://en.wikipedia.org/wiki/Ministry_of_Public_Administration_and_Local_Self-Government	-
RS	RužićBranko	minister	2017-06-30	2020-10-28	15th cabinet	-	Ministarstvo državne uprave i lokalne samouprave	Ministry of Public Administration and Local Self-Government	https://en.wikipedia.org/wiki/Ministry_of_Public_Administration_and_Local_Self-Government	-
RS	ObradovićMarija	minister	2020-10-29	2022-10-26	16th cabinet	-	Ministarstvo državne uprave i lokalne samouprave	Ministry of Public Administration and Local Self-Government	https://en.wikipedia.org/wiki/Ministry_of_Public_Administration_and_Local_Self-Government	-
RS	MartinovićAleksandar	minister	2022-10-27	-	17th cabinet	-	Ministarstvo državne uprave i lokalne samouprave	Ministry of Public Administration and Local Self-Government	https://en.wikipedia.org/wiki/Ministry_of_Public_Administration_and_Local_Self-Government	-
RS	ČomićGordana	minister	2020-10-28	2022-10-26	16th cabinet	-	Ministarstvo za ljudska i manjinska prava i društveni dijalog	Ministry of Human and Minority Rights and Social Change	https://en.wikipedia.org/wiki/Ministry_of_Human_and_Minority_Rights_and_Social_Dialogue_(Serbia)	-
RS	ŽigmanovTomislav	minister	2022-10-27	-	17th cabinet	-	Ministarstvo za ljudska i manjinska prava i društveni dijalog	Ministry of Human and Minority Rights and Social Change	https://en.wikipedia.org/wiki/Ministry_of_Human_and_Minority_Rights_and_Social_Dialogue_(Serbia)	-
RS	DačićIvica	minister	2008-07-07	2014-04-27	10/11/12th cabinet	-	Ministarstvo unutrašnjih poslova	Ministry of Internal Affairs	https://en.wikipedia.org/wiki/Ministry_of_Internal_Affairs_(Serbia)	-
