ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
u2018-11-29-23	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	Fidesz	Fidesz – Magyar Polgári Szövetség	Coalition	Turi-Kovács, Béla	M	1935
u2018-11-29-24	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-25	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Guest	notMP				Kaderják, Péter	M	1963
u2018-11-29-26	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-27	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Guest	notMP				Fülöp, Attila	M	1978
u2018-11-29-28	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-29	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	Fidesz	Fidesz – Magyar Polgári Szövetség	Coalition	Kovács, Sándor	M	1966
u2018-11-29-30	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	MSZP	Magyar Szocialista Párt	Opposition	Hiller, István	M	1964
u2018-11-29-31	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	JOBBIK	Jobbik Magyarországért Mozgalom	Opposition	Stummer, János	M	1984
u2018-11-29-32	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
u2018-11-29-33	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Regular	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Nacsa, Lőrinc	M	1990
u2018-11-29-34	Hungarian parliamentary corpus ParlaMint-HU, legislative session of 2018 autumn, meeting 16, day 4, 2018-11-29 [ParlaMint]	2018-11-29	2018-11-29		8		16	4		Reference	Chairperson	MP	KDNP	Kereszténydemokrata Néppárt	Coalition	Latorcai, János	M	1944
