ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	HU	MSZP + MSZP-frakció	2301	MSZP	2010	3.4	4.2	-	-	-	-	-	-	3.3	6.4	86220	-	-	-	4.4	4.7	0	-	2010	3.1	5.5	17.4	3.6	4.2	-	-	1	-	-	6.5	2	-	-	-	6	-	6.2	-	6.2	-	6.6	-	8.0	5.5	1	17	5	3.9	-	-	-	-	0.0	-	4	3.6	3.4	3.6	-	-	-	-	-	4.2	3.4	-	-	-	5.9	3.6	4.1	4	3.7	1.8	-	15.3	4.7	3.1	3.9	6.2	4.1	4.5	-	-	19.3	2020.1
1999-2019	HU	MSZP + MSZP-frakció	2301	MSZP	2014	3.4	4.1	-	-	7.4	-	-	3.5	4.6	-	86220	5.8	-	-	-	5.3	0	4.5	2014	-	5.9	10.9	4.2	-	-	-	1	-	4.6	6.5	2.7	-	-	-	5.2	-	6	-	5.9	-	6.1	-	6.3	4	1	14	5	4.1	-	-	5.6	-	0.0	-	4.5	-	-	3.9	-	13	14	2	-	-	4.9	3.1	-	-	-	3.5	-	4.5	-	1.9	-	14.6	-	3.3	3.7	-	3.2	-	-	-	20.6	2020.1
1999-2019	HU	MSZP + MSZP-frakció	2301	MSZP	2019	3.4	4.0	4.6	3.3	7.2	-	2.6	3.8	4.4	-	86220	7.9	-	-	-	4.6	0	3.3	2018	4.9	4.2	6.6	3.3	-	-	4.7	-	2.2	5.1	6.5	1.5	-	-	-	-	-	5.5	-	5.8	-	6.5	-	8.3	-	1	15	5	3.7	3.2	4.7	5.7	-	0.0	4.2	4.9	4.3	-	-	6.2	-	-	-	3.7	4.3	5.1	3.9	4.2	4.8	7	3.5	-	4.2	-	2.4	4.2	11	-	3.5	2.6	-	4	-	-	-	11.9	2020.1
-	HU	Mi Hazánk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HU	Mi Hazánk-frakció	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HU	Momentum	2314	MM	2019	4.4	5.9	4	1.7	7.1	-	1.3	3.8	2	-	-	9.6	-	-	-	5.4	0	5.8	2018	7.6	2.6	9.9	1.9	-	-	5.8	-	1.2	5.8	6.3	0.9	-	-	-	-	-	6.2	-	6.8	-	6.5	-	9.4	-	1	15	6	1.6	1.3	3.2	7.6	-	0.0	2.6	3.2	4.9	-	-	4.3	-	-	-	2.5	4.6	3.2	2.1	5.1	2.6	5.6	4.4	-	2.5	-	1.6	4.5	0	-	1.4	3.1	-	2.2	-	-	-	3.1	2020.1
-	HU	Momentum-frakció	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HU	Párbeszéd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HU	Párbeszéd-frakció	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HU	Szolidaritás	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HU	Volner	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HU	ÚK	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
