Country	orgType	orgID	AbbrName	FullName	From	To	Orientation-LR	Wikipedia	CHES-ID	CHES-Name
BE	parliamentaryGroup	SAP-GA	SAP-GA	Stroming voor een Antikapitalistisch Project	-	-	Links	https://en.wikipedia.org/wiki/Anticapitalist_Left_(Belgium)	-	-
BE	parliamentaryGroup	VSL	VSL	Vlaamse Sociaal-Liberalen	-	-	-	-	-	-
BE	parliamentaryGroup	Volt	Volt	Volt Europa	-	-	Links	https://en.wikipedia.org/wiki/Volt_Belgium	-	-
BE	parliamentaryGroup	Be.One	Be.One	Be.One	-	-	-	-	-	-
BE	parliamentaryGroup	DeMilitant	De Militant	De Militant	-	-	-	-	-	-
BE	parliamentaryGroup	DierAnimal	DierAnimal	DierAnimal	-	-	Centrum-links	https://en.wikipedia.org/wiki/DierAnimal	-	-
BE	parliamentaryGroup	ISLAM	ISLAM	ISLAM	-	-	Extreemrechts	https://en.wikipedia.org/wiki/ISLAM_(Belgian_political_party)	-	-
BE	parliamentaryGroup	MilitantLinks	Militant Links	Militant Links	-	-	-	-	-	-
BE	parliamentaryGroup	ProBruxsel	Pro Bruxsel	Pro Bruxsel	-	-	-	https://en.wikipedia.org/wiki/Pro_Bruxsel	-	-
BE	parliamentaryGroup	Vivant	Vivant	Vivant	-	-	Centrum-links	https://en.wikipedia.org/wiki/Vivant	-	-
BE	parliamentaryGroup	Volksunie	Volksunie	Volksunie	-	-	Centrum tot centrum-rechts	https://en.wikipedia.org/wiki/People%27s_Union_(Belgium)	110	VU|VU/NVA
BE	parliamentaryGroup	SP_duitstalig	SP_duitstalig	Sozialistische Partei	-	-	Centrum-link tot links	https://fr.wikipedia.org/wiki/SP_Regionalverband_Ostbelgien	-	-
BE	parliamentaryGroup	MR	MR	Mouvement Réformateur	-	-	Centrum-rechts	https://en.wikipedia.org/wiki/Reformist_Movement	106	MR
BE	parliamentaryGroup	PS	PS	Parti Socialiste	-	-	Centrum-link tot links	https://en.wikipedia.org/wiki/Socialist_Party_(Belgium)	102	PS
BE	parliamentaryGroup	PTB	PTB	Parti du Travail de Belgique	-	-	links tot extreemlinks	https://en.wikipedia.org/wiki/Workers%27_Party_of_Belgium	119	PVDA|PVDA-PTB
BE	parliamentaryGroup	PVDA-PTB	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	-	-	links tot extreemlinks	https://en.wikipedia.org/wiki/Workers%27_Party_of_Belgium	119	PVDA|PVDA-PTB
BE	parliamentaryGroup	PSC	PSC	Parti social chrétien	-	-	Centrum	https://en.wikipedia.org/wiki/Christian_Social_Party_(Belgium,_1945)	108	PSC|PSC/CDH
BE	parliamentaryGroup	BANAAN	BANAAN	Beter Alternatieven Nastreven Als Apathisch Nietsdoen	-	-	Links	https://en.wikipedia.org/wiki/ROSSEM	-	-
BE	parliamentaryGroup	spirit	spirit	Spirit	-	-	Links	https://en.wikipedia.org/wiki/SP.A–Spirit	118	Spirit
BE	parliamentaryGroup	Vl.Pro	Vl.Pro	VlaamsProgressieven	-	-	Centrum tot centrum-links	https://en.wikipedia.org/wiki/Sociaal-Liberale_Partij	-	-
BE	parliamentaryGroup	FN	FN	Front National	-	-	Extreemrechts	https://en.wikipedia.org/wiki/National_Front_(Belgium)	115	FN
BE	parliamentaryGroup	WOW	WOW	Waardig Ouder Worden	-	-	Links	https://en.wikipedia.org/wiki/ROSSEM	-	-
BE	parliamentaryGroup	Spirit	Spirit	Sociaal Progressief Internationaal Regionalistisch Integraal-democratisch en Toekomstgericht	-	-	Links	https://en.wikipedia.org/wiki/SP.A–Spirit	118	Spirit
BE	parliamentaryGroup	VlaamsBlok	Vlaams Blok	Vlaams Blok	-	-	Extreemrechts	https://en.wikipedia.org/wiki/Vlaams_Blok	-	-
BE	parliamentaryGroup	onafhankelijk	onafhankelijk	Onafhankelijk	-	-	Rechts	https://en.wikipedia.org/wiki/VLOTT	-	-
BE	parliamentaryGroup	B.U.B.	B.U.B.	Belgische Unie - Union Belge	-	-	Centrum	https://en.wikipedia.org/wiki/Belgische_Unie_–_Union_Belge	-	-
BE	parliamentaryGroup	Vooruit	Vooruit	Vooruit	-	-	Centrum-links	https://en.wikipedia.org/wiki/Vooruit_(political_party)	-	-
BE	parliamentaryGroup	CD_en_V	CD&V	Christen-Democratisch en Vlaams	-	-	Centrum tot centrum-rechts	https://en.wikipedia.org/wiki/Christian_Democratic_and_Flemish	109	CD&V|CDV
BE	parliamentaryGroup	N-VA	N-VA	Nieuw-Vlaamse Alliantie	-	-	Centrum-rechts tot rechts	https://en.wikipedia.org/wiki/New_Flemish_Alliance https://en.wikipedia.org/wiki/New_Flemish_Alliance	114|110	ID21|NVA
BE	parliamentaryGroup	OpenVld	Open Vld	Open Vlaamse Liberalen en Democraten	-	-	Centrum-rechts	https://en.wikipedia.org/wiki/Open_Flemish_Liberals_and_Democrats	-	-
BE	parliamentaryGroup	PP	PP	Parti Populaire	-	-	rechts tot extreemrechts	https://en.wikipedia.org/wiki/People%27s_Party_(Belgium)	120	PP
BE	parliamentaryGroup	VLD	VLD	Vlaamse Liberalen en Democraten	-	-	Centrum-rechts	https://en.wikipedia.org/wiki/Open_Flemish_Liberals_and_Democrats	107	PVV/VLD|VLD|VLD/PVV
BE	parliamentaryGroup	Vuye_Wouters	Vuye_Wouters	Vuye & Wouters: V-Kamerleden	-	-	-	-	-	-
BE	parliamentaryGroup	PVDA	PVDA	Partij van de Arbeid van België	-	-	links tot extreemlinks	https://en.wikipedia.org/wiki/Workers%27_Party_of_Belgium	-	-
BE	parliamentaryGroup	VB	VB	Vlaams Belang	-	-	rechts tot extreemrechts	https://en.wikipedia.org/wiki/Vlaams_Belang	112	VB
BE	parliamentaryGroup	LesEngagés	Les Engagés	Les Engagés	-	-	Centrum	https://en.wikipedia.org/wiki/Les_Engagés_(political_party)	-	-
BE	parliamentaryGroup	DéFi	DéFi	Démocrate Fédéraliste Indépendant	-	-	Centrum tot centrum-rechts	https://en.wikipedia.org/wiki/DéFI	111	FDF
BE	parliamentaryGroup	Ecolo	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	-	-	Centrum-link tot links	https://en.wikipedia.org/wiki/Ecolo	104	ECOLO
BE	parliamentaryGroup	cdH	cdH	Centre démocrate humaniste	-	-	Centrum tot centrum-rechts	https://en.wikipedia.org/wiki/Humanist_Democratic_Centre	108	CDH
BE	parliamentaryGroup	Agora	Agora	Agora	-	-	One-issuepartij	https://en.wikipedia.org/wiki/Agora_(Belgium)	-	-
