ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
-	PT	L	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	PT	Não-inscrito	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	PT	PAN	1250	PAN	2019	3.4	3.8	6	1	5.2	-	0.6	7.7	3.8	-	-	7.6	-	-	-	4	1	3.5	2019	8.6	2	5.5	2.5	-	-	4.3	-	6.7	2.7	5.7	4	-	-	-	-	-	5.2	-	5.2	-	4.2	-	4.1	-	1	8	7	4	3	1.3	7.3	-	0.0	2.5	3.2	2.8	-	-	7	-	-	-	2.5	3.6	2.5	3	7.3	6	4.7	2.8	-	4	-	1	0.3	1.8	-	3.1	3.2	-	5.2	-	-	-	3.5	2020.1
1999-2019	PT	PCP	1210	PCP	2019	0.9	0.8	2.2	0.8	8.2	-	1.9	7.4	4.1	-	-	7.6	-	-	-	0.9	1	0.9	2019	5.8	3.1	7.4	2	-	-	2.6	-	3	1.3	4.2	0.3	-	-	-	-	-	3.2	-	3	-	2.8	-	5.4	-	1	8	6	5.1	1.7	2.3	5.9	-	0.0	1.5	2.3	4.9	-	-	8.4	-	-	-	2.2	5.1	2	5.5	6.9	8.9	8.9	0.9	-	2.1	-	0.9	2.2	4.4	-	4.4	1.6	-	7.2	-	-	-	5.5	2020.1
1999-2019	PT	PEV	1211	PEV	2019	1.1	1.3	2	0.7	7.1	-	2	7.3	4.4	-	-	8	-	-	-	1.2	1	1.3	2019	8.4	2.1	0	1.5	-	-	2.8	-	5	2	4.3	0.3	-	-	-	-	-	3.3	-	3.7	-	3.0	-	5.6	-	1	8	7	4.9	1	1.5	7	-	0.0	1.8	2.1	4.4	-	-	7.3	-	-	-	2	4.9	2	4.8	6.8	8.3	7.5	1.2	-	2.7	-	0.8	1.5	0.9	-	3.6	2.3	-	7	-	-	-	1.1	2020.1
1999-2019	PT	PS	1205	PS	1999	3.6	4.4	-	-	-	-	-	-	-	-	35311	-	-	-	-	-	1	-	1999	-	-	43.1	-	-	-	6	-	-	-	6.8	1.0	-	6.3	7	5.5	6.3	6.8	-	-	-	7.0	-	7.5	-	1	5	5	3.2	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50	-	-	-	-	-	-	-	-	44.1	2020.1
1999-2019	PT	PS	1205	PS	2002	4.0	3.9	-	-	-	-	-	-	-	-	35311	-	-	-	-	-	1	-	2002	-	-	43.1	-	-	5.7	6	-	-	-	6.8	1.9	-	6	5.8	5.5	-	6.5	-	5.5	-	6.9	-	8.6	-	1	7	5	3.4	-	-	-	-	0.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41.7	-	-	-	-	-	-	-	-	37.8	2020.1
1999-2019	PT	PS	1205	PS	2006	4.3	4.8	-	-	-	-	-	-	4.5	5.1	35311	-	3.4	3.7	6.1	5.4	1	-	2005	-	-	44.5	3.4	5.7	-	-	-	-	-	6.8	2.2	-	-	-	6.2	-	6.2	-	5.8	-	6.9	-	7.3	5.8	1	10	5	3.8	-	-	-	-	0.0	-	4.9	6	-	-	-	-	-	-	-	-	4.1	-	-	-	6	3.3	5.6	2.8	4.6	3.3	-	52.6	5.2	3.7	3.7	7.7	4	4.1	4.8	4.6	45	2020.1
1999-2019	PT	PS	1205	PS	2010	4.2	4.0	-	-	-	-	-	-	3.5	5.8	35311	-	-	-	4.6	4	1	-	2009	3.5	4.5	26.5	2.8	2.2	-	-	1	-	-	7	1.5	-	-	-	6	-	6	-	6.4	-	7.0	-	8.3	5.2	1	6	5	2.3	-	-	-	-	1.0	-	4.3	3.7	2.7	3	-	-	-	-	-	3.5	2.6	-	-	-	6.3	3	4.3	3.5	4.2	2.2	-	42.2	6	1.5	2.7	7.8	3.2	3.2	-	-	36.6	2020.1
1999-2019	PT	PS	1205	PS	2014	4.5	4.7	-	-	9.3	-	-	2	3.8	-	35311	5.5	-	-	-	4	1	3.7	2011	-	4.7	34	4	-	-	-	1	-	4.3	6.5	3.7	-	-	-	6.2	-	5.8	-	6	-	6.4	-	8.1	4.7	1	8	5	3.2	-	-	3.5	-	0.0	-	4	-	-	4	-	13	17	14	-	-	3.8	4.2	-	-	-	3.3	-	4.8	-	3.3	-	32.2	-	3.2	3.8	-	4.7	-	-	-	29.2	2020.1
1999-2019	PT	PS	1205	PS	2019	4.1	4.0	2.5	4.5	8.8	-	2.6	2.9	4.5	-	35311	5.9	-	-	-	5	1	4.6	2019	5.8	4.4	35.9	2.7	-	-	4.7	-	1.8	5.2	6	3	-	-	-	-	-	5	-	6.4	-	6.8	-	7.9	-	1	8	5	4.4	3.3	3	5.7	-	1.0	3	3.9	5.1	-	-	6.8	-	-	-	2.8	5.1	3.2	3	2.9	4.3	7.1	3.9	-	3.6	-	2.6	0.5	47.6	-	2.9	4.1	-	4.3	-	-	-	38.2	2020.1
1999-2019	PT	PSD	1206	PSD	1999	5.6	6.0	-	-	-	-	-	-	-	-	35313	-	-	-	-	-	1	-	1999	-	-	31.1	-	-	-	5.3	-	-	-	6.4	1.5	-	5.7	6.7	4.8	5.3	5.5	-	-	-	6.6	-	7.5	-	1	5	3	6.8	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35.2	-	-	-	-	-	-	-	-	32.3	2020.1
1999-2019	PT	PSD	1206	PSD	2002	6.4	7.3	-	-	-	-	-	-	-	-	35313	-	-	-	-	-	1	-	2002	-	-	31.1	-	-	5.7	5.2	-	-	-	6.8	2.4	-	5	5.4	5.2	-	5.8	-	5.3	-	6.4	-	8.6	-	1	7	3	7	-	-	-	-	0.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45.7	-	-	-	-	-	-	-	-	40.2	2020.1
1999-2019	PT	PSD	1206	PSD	2006	6.7	7.0	-	-	-	-	-	-	6.4	5.6	35313	-	5	3.8	6.8	7	1	-	2005	-	-	33.3	5.1	5	-	-	-	-	-	6.8	3	-	-	-	6	-	5.6	-	6.1	-	6.6	-	6.3	4.7	1	10	3	7	-	-	-	-	1.0	-	6	6	-	-	-	-	-	-	-	-	5.6	-	-	-	5.7	5.6	5.2	5.2	5.5	6.2	-	32.6	5	6.6	6.2	7.4	5.4	4.3	6.4	4.9	28.8	2020.1
1999-2019	PT	PSD	1206	PSD	2010	6.7	7.0	-	-	-	-	-	-	5.5	4.8	35313	-	-	-	6.2	6	1	-	2009	2.7	6.2	31.7	5	2	-	-	1	-	-	7	2.2	-	-	-	5.6	-	5.8	-	6.6	-	6.7	-	6.1	5	1	6	3	6.8	-	-	-	-	0.0	-	6	3.8	2.3	3.2	-	-	-	-	-	2.5	5.2	-	-	-	5.3	5.5	3.3	4.2	4	6	-	35.2	3.6	6.5	7.5	6.8	5.2	3.5	-	-	29.1	2020.1
1999-2019	PT	PSD	1206	PSD	2014	6.7	7.8	-	-	9.2	-	-	0.5	5.3	-	35313	4.8	-	-	-	8.2	1	7.2	2011	-	5.8	25.7	6.2	-	-	-	1	-	5.3	6.5	3.1	-	-	-	6	-	6	-	6.5	-	6.9	-	7.6	4.3	1	8	3	5.7	-	-	3.5	-	1.0	-	6.8	-	-	3	-	5	13	17	-	-	5.5	5.8	-	-	-	6.2	-	5.4	-	6	-	47	-	5.2	7.2	-	4.8	-	-	-	40.3	2020.1
1999-2019	PT	PSD	1206	PSD	2019	6.4	6.5	3.8	5	8.5	-	2.6	2.9	6.5	-	35313	6.5	-	-	-	7	1	6.8	2019	6	5.8	23.6	4.9	-	-	4.7	-	2	5	5.8	5.7	-	-	-	-	-	5	-	6.6	-	6.8	-	7.4	-	1	8	3	7	3.3	3.7	6	-	0.0	2.7	5.4	5.2	-	-	6.6	-	-	-	2.6	4.9	5.3	5.5	2.7	3.3	6.9	6.3	-	4	-	6.4	0.2	34.8	-	6.5	6.5	-	4.5	-	-	-	29.2	2020.1
